Customer No,Customer Nationality,Customer Age,Account Opening Date,DC Spends,SALARY_FLAG,DR_FLAG,Bill Payment,CC Spends,Monthly Average Balance
341224,INDIA,38,18/02/2021,No Spends,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,202.5922581
408996,SRI LANKA,77,17/08/2017,No Spends,No Salary,Active DR,Active Bill,No CC,0
245525,MOROCCO,65,8/03/2018,No Spends,Salary with Bank,No DR,No Bill,Active CC,0
307291,JORDAN,66,21/04/2019,No Spends,Salary with Bank,Active DR,No Bill,Inactive CC,1306.079032
230210,INDIA,25,7/03/2018,No Spends,Salary with Other Bank,No DR,Inactive Bill,Active CC,0.61
155985,PHILIPPINES,63,5/06/2019,Inactive,No Salary,Active DR,Active Bill,Active CC,5587.611935
226945,EGYPT,56,2/05/2018,No Spends,Salary with Other Bank,Active DR,Active Bill,Inactive CC,0
311325,INDIA,21,4/05/2017,Inactive,Salary with Other Bank,Inactive DR,Inactive Bill,Active CC,0
271380,INDIA,71,2/09/2019,Active,Salary with Bank,Active DR,No Bill,No CC,-24.25
25655,INDIA,48,30/04/2018,No Spends,Salary with Bank,Active DR,No Bill,Active CC,62.23
43684,NEPAL,56,16/08/2017,Inactive,No Salary,Inactive DR,No Bill,Inactive CC,0
87576,INDIA,71,7/09/2017,Active,Salary with Other Bank,Active DR,Active Bill,No CC,0
218198,BOSNIA & HERZEGOVINA,54,26/04/2019,Inactive,Salary with Bank,Active DR,Active Bill,Inactive CC,0
362640,PAKISTAN,73,14/11/2021,Inactive,Salary with Bank,Inactive DR,Inactive Bill,No CC,61319.92806
179007,PHILIPPINES,25,16/12/2018,No Spends,No Salary,No DR,Inactive Bill,Inactive CC,0
442624,UNITED ARAB EMIRATES,72,5/01/2021,Inactive,No Salary,Inactive DR,No Bill,Active CC,163.6354839
498096,BANGLADESH,38,5/11/2021,Active,Salary with Other Bank,Inactive DR,Active Bill,No CC,0
358905,MYANMAR,41,2/07/2017,Active,Salary with Bank,Inactive DR,Inactive Bill,Active CC,1671.68
179734,INDIA,37,9/03/2019,No Spends,Salary with Bank,No DR,No Bill,Active CC,0
215793,INDIA,35,10/09/2021,Inactive,No Salary,Active DR,Active Bill,Inactive CC,0
61961,SYRIA,57,1/06/2018,No Spends,Salary with Other Bank,Active DR,Inactive Bill,Inactive CC,3484.023226
201866,INDIA,63,7/03/2022,Active,Salary with Bank,Active DR,Inactive Bill,Active CC,0
116106,INDIA,66,1/09/2019,Active,Salary with Other Bank,Inactive DR,No Bill,Inactive CC,3323.796774
313003,PHILIPPINES,43,17/06/2020,Active,No Salary,No DR,No Bill,Active CC,0
35405,INDIA,35,25/11/2021,Active,No Salary,No DR,Inactive Bill,Inactive CC,23.28
175961,INDIA,65,25/07/2021,No Spends,Salary with Bank,Inactive DR,No Bill,No CC,2.28
403738,INDIA,45,16/03/2018,Active,Salary with Other Bank,Active DR,Inactive Bill,No CC,0
327586,PHILIPPINES,74,8/08/2017,No Spends,Salary with Other Bank,Inactive DR,No Bill,Inactive CC,244.7993548
159347,INDIA,32,15/05/2021,No Spends,No Salary,Inactive DR,Active Bill,No CC,1998.709677
296178,JORDAN,40,12/11/2018,Active,Salary with Bank,No DR,Active Bill,Active CC,452.0406452
198511,INDIA,38,6/01/2019,Active,Salary with Bank,No DR,Inactive Bill,Inactive CC,0
216888,PHILIPPINES,60,13/03/2021,Inactive,Salary with Other Bank,Active DR,Inactive Bill,No CC,0
452314,BANGLADESH,76,13/06/2020,Inactive,No Salary,No DR,Active Bill,Inactive CC,4718.917419
270603,INDIA,54,5/09/2021,Inactive,No Salary,No DR,No Bill,Inactive CC,5928.907419
284131,EGYPT,54,26/08/2021,Inactive,No Salary,Active DR,Active Bill,No CC,87.79193548
244350,YEMEN,58,30/01/2021,No Spends,Salary with Bank,No DR,No Bill,No CC,33882.06935
85531,PAKISTAN,33,18/11/2017,Active,Salary with Other Bank,Active DR,Inactive Bill,Inactive CC,35.4116129
20005,PHILIPPINES,27,15/08/2021,Active,Salary with Bank,Inactive DR,No Bill,Inactive CC,0.42
225191,EGYPT,62,19/01/2021,Active,Salary with Other Bank,Inactive DR,Active Bill,No CC,424.926129
42410,SOUTH AFRICA,44,25/04/2018,Active,Salary with Other Bank,Inactive DR,Inactive Bill,Inactive CC,0
125722,PHILIPPINES,67,2/10/2019,Inactive,No Salary,Active DR,Inactive Bill,No CC,0
421811,PHILIPPINES,43,5/01/2018,Inactive,Salary with Bank,No DR,Inactive Bill,Inactive CC,450.9654839
423813,INDIA,49,21/03/2019,No Spends,Salary with Bank,Inactive DR,Active Bill,Inactive CC,988.6512903
133709,PHILIPPINES,57,15/09/2021,No Spends,No Salary,Active DR,No Bill,Active CC,0
136345,INDIA,67,23/05/2020,No Spends,No Salary,Inactive DR,No Bill,Inactive CC,0
272854,PHILIPPINES,66,20/09/2021,Active,Salary with Other Bank,No DR,No Bill,No CC,0
331285,PHILIPPINES,58,20/11/2018,No Spends,No Salary,No DR,Inactive Bill,No CC,0
165518,PAKISTAN,70,26/02/2021,Inactive,No Salary,Inactive DR,Active Bill,Inactive CC,254.9554839
373578,PHILIPPINES,30,26/11/2019,No Spends,Salary with Bank,Active DR,No Bill,No CC,0
384225,PHILIPPINES,44,22/10/2019,Inactive,Salary with Bank,No DR,Active Bill,Active CC,4770.310645
425410,INDIA,62,28/08/2021,No Spends,Salary with Bank,No DR,Active Bill,Inactive CC,2778.502258
470417,INDIA,72,13/08/2019,Active,Salary with Other Bank,Active DR,No Bill,Active CC,0
12448,AUSTRALIA,66,6/08/2021,Inactive,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,646.3687097
12115,NEPAL,46,24/06/2020,No Spends,Salary with Bank,Active DR,Inactive Bill,No CC,88.06677419
131981,PAKISTAN,41,18/04/2020,Inactive,Salary with Bank,Inactive DR,Active Bill,No CC,0
58945,INDIA,39,2/10/2021,Inactive,Salary with Bank,Active DR,Inactive Bill,Inactive CC,0
420775,PHILIPPINES,55,25/03/2020,No Spends,No Salary,Active DR,Active Bill,Active CC,0
304168,SRI LANKA,76,15/04/2020,No Spends,Salary with Other Bank,No DR,Inactive Bill,No CC,836.8374194
15667,PALESTINE,69,24/03/2022,No Spends,Salary with Bank,Active DR,No Bill,No CC,4.07
215451,INDIA,37,27/05/2017,Inactive,Salary with Bank,No DR,Active Bill,Active CC,27834.88194
108804,PAKISTAN,34,15/06/2017,Active,No Salary,Inactive DR,Active Bill,Inactive CC,2589.359355
202490,PAKISTAN,34,8/02/2018,Inactive,Salary with Bank,Active DR,Inactive Bill,No CC,0
327817,PHILIPPINES,69,20/10/2018,Active,Salary with Other Bank,Inactive DR,Inactive Bill,Active CC,0
232711,INDIA,50,21/10/2017,Active,Salary with Other Bank,No DR,Inactive Bill,No CC,1.42
205470,PHILIPPINES,77,24/10/2017,Active,No Salary,Inactive DR,Inactive Bill,No CC,0
252208,INDIA,50,13/02/2022,Active,No Salary,Inactive DR,Inactive Bill,Active CC,0
4510,UNITED ARAB EMIRATES,47,2/12/2018,Inactive,Salary with Bank,Inactive DR,Active Bill,Inactive CC,0
16140,PAKISTAN,32,4/08/2017,No Spends,Salary with Bank,Active DR,Inactive Bill,Active CC,36174.18677
29591,INDIA,21,8/01/2018,No Spends,No Salary,Active DR,Inactive Bill,Active CC,0.4
49596,EGYPT,57,11/10/2017,Inactive,Salary with Other Bank,No DR,No Bill,Inactive CC,0
462962,INDIA,77,31/10/2020,No Spends,Salary with Bank,No DR,Active Bill,No CC,0
250210,PAKISTAN,30,24/08/2020,Active,Salary with Bank,Inactive DR,Inactive Bill,Inactive CC,115.3422581
466159,PHILIPPINES,42,11/05/2020,No Spends,No Salary,Active DR,Active Bill,Active CC,53.25451613
223384,UNITED ARAB EMIRATES,65,10/01/2019,Active,Salary with Other Bank,Inactive DR,Active Bill,Inactive CC,3.93
335605,INDIA,55,7/12/2021,Inactive,Salary with Bank,Inactive DR,No Bill,Active CC,10.59935484
324397,INDIA,51,4/08/2021,Active,Salary with Bank,Inactive DR,No Bill,Inactive CC,3226.057419
457522,FRANCE,77,9/08/2021,Active,Salary with Other Bank,No DR,Inactive Bill,Active CC,13118.66
159393,PAKISTAN,77,19/03/2020,Inactive,Salary with Bank,Inactive DR,Active Bill,Inactive CC,0
423475,PHILIPPINES,75,6/11/2019,No Spends,Salary with Bank,Active DR,Active Bill,No CC,0
328830,INDIA,49,20/10/2019,Active,Salary with Bank,No DR,No Bill,No CC,2321.246774
81215,PHILIPPINES,64,21/07/2021,Active,Salary with Bank,No DR,No Bill,No CC,0
152741,INDIA,59,12/11/2018,Inactive,No Salary,Inactive DR,Inactive Bill,No CC,0
92218,UNITED ARAB EMIRATES,53,18/09/2018,No Spends,Salary with Other Bank,Inactive DR,No Bill,Active CC,18.39
84754,PAKISTAN,74,15/06/2018,No Spends,No Salary,No DR,No Bill,Active CC,0
468869,INDIA,53,13/07/2018,Inactive,No Salary,Inactive DR,Inactive Bill,No CC,0
212890,UNITED ARAB EMIRATES,45,19/09/2017,Active,Salary with Other Bank,Inactive DR,No Bill,Inactive CC,0
42901,JORDAN,28,23/04/2019,Active,Salary with Other Bank,Active DR,Inactive Bill,Active CC,0
194052,INDIA,49,13/10/2018,Active,Salary with Other Bank,Inactive DR,Inactive Bill,Active CC,564.8035484
79199,PHILIPPINES,24,1/09/2019,Inactive,Salary with Bank,Active DR,No Bill,Inactive CC,271.4777419
294403,PHILIPPINES,40,12/02/2020,No Spends,Salary with Bank,Active DR,No Bill,Active CC,11098.43032
442852,INDIA,32,16/07/2021,Active,No Salary,Inactive DR,Inactive Bill,Active CC,20.17645161
34110,EGYPT,53,15/02/2019,Active,Salary with Bank,Inactive DR,Inactive Bill,Inactive CC,593.8183871
464511,INDIA,24,26/10/2021,Inactive,Salary with Bank,Inactive DR,Active Bill,Active CC,14.42258065
103084,SRI LANKA,58,5/04/2019,Active,No Salary,No DR,No Bill,Active CC,2346.37
123528,PHILIPPINES,29,6/08/2017,Inactive,Salary with Other Bank,Inactive DR,Inactive Bill,Inactive CC,220.5274194
217273,INDIA,22,12/10/2019,No Spends,No Salary,Inactive DR,Inactive Bill,Active CC,1166.895806
461208,NEPAL,48,2/12/2021,No Spends,Salary with Bank,Inactive DR,No Bill,Active CC,0
311645,PHILIPPINES,55,9/01/2020,No Spends,Salary with Other Bank,Inactive DR,No Bill,No CC,2.59
74309,PHILIPPINES,77,31/07/2019,No Spends,Salary with Other Bank,Inactive DR,Active Bill,No CC,2.29
476420,INDIA,52,11/06/2020,Active,Salary with Bank,Active DR,Active Bill,No CC,0
47407,BANGLADESH,24,5/10/2017,No Spends,Salary with Bank,Active DR,Inactive Bill,Inactive CC,0
55843,INDIA,51,9/07/2020,No Spends,No Salary,No DR,No Bill,No CC,10.5
123122,SRI LANKA,71,16/03/2021,Active,Salary with Bank,Inactive DR,Inactive Bill,No CC,0
491837,EGYPT,33,26/11/2020,Active,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,121.6909677
175380,INDIA,24,21/04/2018,Active,No Salary,No DR,No Bill,No CC,22.92064516
330316,EGYPT,32,5/10/2018,Inactive,Salary with Other Bank,Active DR,Active Bill,No CC,3134.132258
127138,INDIA,24,21/06/2019,Active,Salary with Bank,Inactive DR,Inactive Bill,Active CC,0
301408,PAKISTAN,64,18/04/2019,No Spends,Salary with Bank,No DR,Active Bill,Active CC,962.3264516
424031,PHILIPPINES,29,20/09/2019,Inactive,No Salary,No DR,Inactive Bill,No CC,1852.671935
124767,JORDAN,52,28/07/2019,Active,Salary with Bank,No DR,No Bill,No CC,3247.917097
191961,INDIA,42,28/03/2020,No Spends,No Salary,Inactive DR,Active Bill,Inactive CC,0
76279,MYANMAR,22,24/02/2022,Inactive,No Salary,No DR,No Bill,No CC,156.5664516
323419,SRI LANKA,28,13/10/2017,Active,Salary with Bank,No DR,No Bill,No CC,36.79870968
130293,INDIA,73,30/07/2020,Active,No Salary,Inactive DR,Active Bill,Inactive CC,0
56021,PHILIPPINES,55,10/09/2020,No Spends,No Salary,Active DR,Inactive Bill,Active CC,0
321245,BANGLADESH,68,25/08/2019,No Spends,No Salary,Inactive DR,No Bill,No CC,2.25
128319,INDIA,27,16/08/2017,Active,Salary with Bank,No DR,Inactive Bill,No CC,0
217586,INDIA,25,14/11/2019,No Spends,Salary with Bank,Inactive DR,Active Bill,Inactive CC,0
222539,PHILIPPINES,66,13/06/2018,Inactive,Salary with Other Bank,Active DR,Active Bill,No CC,478.6729032
454317,PHILIPPINES,26,5/12/2019,Active,Salary with Bank,Active DR,Inactive Bill,Inactive CC,91.88774194
240059,PHILIPPINES,72,15/04/2021,Active,No Salary,Inactive DR,No Bill,No CC,100
348546,JORDAN,27,8/12/2019,Active,Salary with Other Bank,Active DR,Inactive Bill,Inactive CC,16954.00161
172346,PAKISTAN,68,22/12/2018,Active,Salary with Other Bank,Inactive DR,Active Bill,No CC,0
238910,PAKISTAN,67,21/06/2019,Active,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,12076.93226
325137,CAMEROON,28,16/03/2018,Inactive,No Salary,Active DR,Inactive Bill,No CC,1.05
24981,UNITED ARAB EMIRATES,63,26/06/2020,Active,Salary with Bank,No DR,Inactive Bill,Inactive CC,0
150119,EGYPT,64,17/01/2020,Inactive,Salary with Other Bank,Active DR,No Bill,Active CC,3595.629677
479576,UGANDA,66,11/10/2021,Inactive,Salary with Bank,No DR,Inactive Bill,Inactive CC,0
441013,EGYPT,52,11/03/2018,Inactive,Salary with Other Bank,Inactive DR,Inactive Bill,Active CC,0
459745,PHILIPPINES,32,19/10/2018,No Spends,Salary with Other Bank,Inactive DR,Active Bill,Inactive CC,408.6035484
133032,PAKISTAN,59,5/01/2021,Active,No Salary,Active DR,Inactive Bill,Active CC,0
260118,PHILIPPINES,70,17/08/2019,Inactive,No Salary,No DR,Inactive Bill,Inactive CC,2311.473871
273316,INDIA,28,8/03/2019,Inactive,No Salary,Active DR,No Bill,No CC,30983.91677
91653,PALESTINE,57,25/08/2019,Active,Salary with Other Bank,Inactive DR,No Bill,No CC,5508.552581
210460,PHILIPPINES,52,5/02/2019,Inactive,No Salary,No DR,No Bill,Inactive CC,0
226934,EGYPT,52,12/09/2018,Active,Salary with Bank,Active DR,Active Bill,Active CC,4960.042581
374805,INDIA,46,20/01/2021,Inactive,Salary with Other Bank,Active DR,Inactive Bill,Active CC,3127.565161
234949,PAKISTAN,31,25/01/2018,No Spends,No Salary,No DR,No Bill,Active CC,0
196533,INDIA,70,5/01/2018,Inactive,Salary with Other Bank,No DR,Active Bill,Inactive CC,0
316465,INDIA,35,28/03/2021,Active,Salary with Bank,No DR,No Bill,No CC,0
374741,THAILAND,26,29/12/2019,Active,Salary with Other Bank,Active DR,Active Bill,No CC,0
177365,PHILIPPINES,58,14/09/2017,Active,No Salary,Active DR,Inactive Bill,No CC,170.6851613
309375,INDIA,70,4/12/2018,Active,Salary with Bank,Inactive DR,No Bill,Inactive CC,2773.626774
290050,INDIA,48,13/03/2020,Active,Salary with Other Bank,Inactive DR,Active Bill,Inactive CC,0
124052,BANGLADESH,29,23/03/2020,Inactive,No Salary,Inactive DR,No Bill,Inactive CC,0
194286,PAKISTAN,64,30/04/2017,No Spends,Salary with Bank,No DR,Inactive Bill,No CC,0
339648,BANGLADESH,33,13/12/2021,Active,Salary with Other Bank,Active DR,No Bill,No CC,661.6922581
208545,PHILIPPINES,60,28/01/2019,Inactive,Salary with Bank,Inactive DR,Active Bill,No CC,0
333473,PHILIPPINES,65,5/09/2017,Active,Salary with Bank,Inactive DR,Inactive Bill,Inactive CC,160.8858065
369213,AUSTRALIA,66,20/02/2018,Active,No Salary,Active DR,No Bill,Active CC,1987.06
325518,INDIA,57,14/05/2020,No Spends,Salary with Other Bank,No DR,No Bill,Inactive CC,121558.3029
158749,INDIA,21,17/12/2018,Inactive,Salary with Bank,Active DR,No Bill,No CC,303.513871
390506,UNITED ARAB EMIRATES,32,5/09/2017,Active,Salary with Bank,Inactive DR,Inactive Bill,Active CC,932.5567742
103650,YEMEN,66,4/05/2021,Inactive,Salary with Bank,Active DR,Active Bill,No CC,462.216129
304112,NEPAL,21,9/01/2021,No Spends,No Salary,Inactive DR,Inactive Bill,Active CC,0
412795,INDIA,32,21/10/2017,Active,No Salary,Active DR,Inactive Bill,No CC,0
314704,ITALY,37,7/11/2020,No Spends,No Salary,Inactive DR,Inactive Bill,No CC,84995.74871
46474,INDIA,22,28/11/2019,Inactive,No Salary,Active DR,Inactive Bill,Active CC,0
219874,INDIA,31,6/02/2021,Active,Salary with Bank,No DR,Inactive Bill,No CC,0
345963,PAKISTAN,59,7/04/2017,Inactive,Salary with Other Bank,No DR,No Bill,Inactive CC,4244.126452
90745,INDIA,50,8/03/2021,No Spends,Salary with Bank,Inactive DR,No Bill,Active CC,0
147476,UGANDA,22,4/10/2017,No Spends,Salary with Bank,No DR,Active Bill,Inactive CC,0.11
362740,NEPAL,59,1/09/2021,No Spends,No Salary,Active DR,Inactive Bill,Inactive CC,0
419215,LEBANON,36,2/07/2020,Active,No Salary,Inactive DR,No Bill,No CC,3625.705806
205795,MEXICO,32,15/05/2018,No Spends,Salary with Other Bank,Inactive DR,Inactive Bill,No CC,0
276365,PHILIPPINES,47,11/01/2021,Inactive,No Salary,Inactive DR,Active Bill,No CC,115.1954839
286393,INDIA,49,13/11/2019,Inactive,Salary with Bank,Active DR,Active Bill,Inactive CC,605.9309677
99485,INDIA,63,14/11/2019,Active,Salary with Other Bank,No DR,Inactive Bill,Active CC,1071.36871
113071,INDIA,49,12/03/2019,Active,Salary with Other Bank,No DR,Inactive Bill,No CC,538.3274194
78852,INDIA,61,19/12/2018,No Spends,No Salary,Inactive DR,No Bill,No CC,0
203714,INDIA,58,7/09/2018,Active,No Salary,No DR,Inactive Bill,Active CC,0
324494,INDIA,75,6/03/2018,No Spends,Salary with Bank,Inactive DR,Inactive Bill,Inactive CC,336.0874194
72360,INDIA,59,19/04/2021,Inactive,Salary with Other Bank,Active DR,No Bill,Active CC,9261.341935
71834,PAKISTAN,34,7/10/2017,Active,No Salary,Active DR,Inactive Bill,No CC,0
414725,BANGLADESH,49,21/06/2020,Inactive,Salary with Bank,Active DR,No Bill,Active CC,0.147096774
206894,INDIA,39,13/08/2019,Active,Salary with Other Bank,Inactive DR,Active Bill,No CC,14715.77871
47822,PAKISTAN,41,3/03/2020,No Spends,Salary with Other Bank,Active DR,Active Bill,No CC,0
431014,INDIA,24,15/07/2019,No Spends,Salary with Other Bank,Inactive DR,Active Bill,Inactive CC,453.0987097
115581,INDIA,32,21/02/2022,No Spends,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,1428.911613
96244,CAMEROON,42,5/04/2018,No Spends,Salary with Other Bank,Active DR,Active Bill,Inactive CC,0.29
101430,INDIA,43,11/03/2018,No Spends,Salary with Other Bank,No DR,No Bill,Active CC,0
142551,PHILIPPINES,53,10/10/2017,Inactive,No Salary,Active DR,Active Bill,Active CC,116.51
426892,INDIA,72,31/03/2018,Active,Salary with Bank,No DR,Inactive Bill,Active CC,5.98
104116,INDIA,49,10/06/2019,Active,No Salary,No DR,Active Bill,Inactive CC,0
413130,PHILIPPINES,63,24/04/2021,Active,No Salary,No DR,Active Bill,No CC,355.7441935
490905,INDIA,62,5/02/2021,Inactive,No Salary,Inactive DR,No Bill,Active CC,0
275815,EGYPT,30,8/04/2021,Active,Salary with Bank,Inactive DR,No Bill,Inactive CC,1.1
407333,INDIA,60,20/08/2018,Active,Salary with Bank,No DR,No Bill,Inactive CC,0
286381,PAKISTAN,47,17/04/2017,No Spends,Salary with Other Bank,No DR,Active Bill,Inactive CC,0
213130,PHILIPPINES,37,2/04/2021,No Spends,Salary with Bank,No DR,No Bill,Active CC,2409.521935
416342,INDIA,57,1/10/2018,Inactive,No Salary,Active DR,Active Bill,Active CC,4401.842581
413960,TAJIKISTAN,68,23/06/2019,Inactive,No Salary,Inactive DR,No Bill,Inactive CC,0
206612,PAKISTAN,59,9/02/2018,No Spends,No Salary,Inactive DR,Inactive Bill,No CC,1302.846452
98149,UNITED ARAB EMIRATES,35,5/02/2021,Inactive,No Salary,Active DR,No Bill,No CC,0
408795,INDIA,29,24/09/2017,Active,Salary with Bank,No DR,Active Bill,Inactive CC,0
255786,INDIA,73,23/05/2019,No Spends,Salary with Bank,Active DR,Inactive Bill,Inactive CC,1179.834839
9344,INDIA,38,26/07/2021,Active,No Salary,Inactive DR,Inactive Bill,Active CC,843.8622581
235781,INDIA,76,20/08/2021,Active,Salary with Bank,No DR,Active Bill,Active CC,2612.245161
63248,INDIA,48,1/10/2021,Active,Salary with Bank,Active DR,Inactive Bill,No CC,37.44
209352,ETHOPIA,58,8/10/2019,No Spends,Salary with Other Bank,Inactive DR,Active Bill,Active CC,9.677419355
397087,INDIA,68,13/10/2018,No Spends,Salary with Other Bank,No DR,Inactive Bill,Active CC,3490.329355
73464,PHILIPPINES,64,18/07/2020,No Spends,Salary with Other Bank,Inactive DR,Active Bill,Active CC,32.47322581
391959,PHILIPPINES,46,2/04/2021,Active,Salary with Other Bank,Active DR,No Bill,Active CC,47.76322581
65339,INDIA,65,13/04/2018,Active,Salary with Other Bank,Inactive DR,No Bill,No CC,0
24231,PHILIPPINES,21,22/06/2018,Inactive,Salary with Other Bank,Inactive DR,No Bill,No CC,41.23741935
443104,INDIA,62,1/04/2021,No Spends,Salary with Bank,Inactive DR,No Bill,No CC,0
243469,BANGLADESH,73,9/11/2021,No Spends,Salary with Bank,Inactive DR,No Bill,No CC,1106.542581
208548,PAKISTAN,23,24/05/2017,No Spends,Salary with Bank,No DR,Active Bill,Active CC,0
467360,EGYPT,53,12/06/2021,No Spends,Salary with Bank,Inactive DR,Inactive Bill,Inactive CC,0
189973,INDIA,47,23/05/2021,Inactive,No Salary,No DR,No Bill,Active CC,0
402660,OMAN,53,25/11/2018,Active,Salary with Other Bank,Inactive DR,Inactive Bill,Active CC,2.8
360144,NEPAL,56,5/07/2020,Active,Salary with Other Bank,Active DR,Active Bill,Active CC,0
445265,BANGLADESH,64,21/12/2020,Active,No Salary,Inactive DR,Active Bill,Active CC,58.87903226
44015,UNITED ARAB EMIRATES,67,8/08/2019,No Spends,Salary with Bank,Inactive DR,No Bill,Active CC,0
115827,YEMEN,59,12/09/2018,Inactive,Salary with Other Bank,Active DR,No Bill,No CC,3581.231613
225396,BANGLADESH,77,30/03/2020,Inactive,No Salary,Active DR,Active Bill,Active CC,3536.471613
459474,UNITED ARAB EMIRATES,73,26/02/2020,Active,No Salary,No DR,Inactive Bill,No CC,1.12
450498,PHILIPPINES,26,22/12/2019,No Spends,No Salary,Active DR,Inactive Bill,Inactive CC,0
405391,INDIA,37,6/02/2017,Active,No Salary,No DR,Active Bill,No CC,51802.31129
496461,EGYPT,34,10/09/2018,Inactive,Salary with Other Bank,No DR,No Bill,No CC,0
428943,INDIA,61,29/07/2020,Active,No Salary,No DR,No Bill,No CC,2348.844839
177559,SRI LANKA,22,6/07/2021,No Spends,Salary with Bank,Active DR,Inactive Bill,Inactive CC,2691.614839
87298,SYRIA,55,11/12/2021,Inactive,Salary with Other Bank,No DR,Active Bill,No CC,1828.452258
2141,BANGLADESH,65,12/04/2017,Inactive,Salary with Bank,Active DR,Active Bill,Inactive CC,18.71064516
2811,INDIA,76,30/03/2019,No Spends,Salary with Bank,Active DR,No Bill,Inactive CC,1.73
236117,UNITED ARAB EMIRATES,53,3/07/2021,No Spends,No Salary,Inactive DR,Active Bill,Active CC,83.64064516
405755,INDIA,45,7/05/2020,No Spends,Salary with Other Bank,Active DR,No Bill,Inactive CC,3.678064516
114413,INDIA,22,27/06/2021,Inactive,Salary with Bank,Inactive DR,Active Bill,Active CC,2.957096774
473747,INDIA,50,16/07/2019,No Spends,Salary with Bank,Active DR,No Bill,No CC,0
281210,SRI LANKA,48,15/07/2020,Active,Salary with Bank,No DR,Active Bill,Inactive CC,0
458985,INDIA,37,26/05/2017,Active,No Salary,Active DR,No Bill,No CC,0.78
400208,UNITED ARAB EMIRATES,49,22/06/2019,No Spends,Salary with Other Bank,Active DR,Inactive Bill,Inactive CC,1.76
168418,JORDAN,66,15/01/2022,Active,Salary with Other Bank,Active DR,Inactive Bill,No CC,0.35
222515,PHILIPPINES,60,10/08/2019,Inactive,Salary with Other Bank,Active DR,Active Bill,Active CC,310.023871
368823,PHILIPPINES,73,5/02/2020,No Spends,No Salary,Inactive DR,Inactive Bill,Active CC,0
67751,INDIA,56,5/09/2021,Active,Salary with Other Bank,Active DR,Active Bill,Inactive CC,0
395631,INDIA,38,24/06/2021,Inactive,Salary with Bank,No DR,Inactive Bill,Active CC,-0.75
30654,INDIA,22,6/03/2022,Active,Salary with Bank,No DR,No Bill,Active CC,208.2516129
412664,PHILIPPINES,23,2/03/2021,Active,Salary with Other Bank,Active DR,No Bill,Inactive CC,15.11064516
259334,PHILIPPINES,42,10/03/2021,Active,Salary with Bank,Inactive DR,Inactive Bill,Active CC,0
45734,JORDAN,76,30/01/2020,No Spends,Salary with Other Bank,No DR,Active Bill,Active CC,4017.307097
294067,PAKISTAN,46,16/05/2019,No Spends,No Salary,Active DR,Active Bill,No CC,1.951935484
46756,INDIA,75,18/01/2021,Active,Salary with Bank,No DR,Active Bill,Active CC,20116.20323
208411,INDIA,48,2/11/2018,Active,Salary with Bank,No DR,Active Bill,Active CC,1889.830968
51567,BANGLADESH,66,16/11/2018,No Spends,Salary with Bank,Active DR,Active Bill,Inactive CC,197.5574194
343615,PAKISTAN,37,3/06/2017,Inactive,Salary with Other Bank,Active DR,Active Bill,No CC,0
56224,INDIA,27,1/11/2017,No Spends,Salary with Other Bank,No DR,Inactive Bill,Active CC,253.2170968
30647,PAKISTAN,29,30/08/2017,No Spends,Salary with Other Bank,No DR,No Bill,Active CC,0.98
168666,INDIA,30,12/09/2021,No Spends,No Salary,No DR,Active Bill,Inactive CC,0
45172,PHILIPPINES,70,1/06/2018,No Spends,No Salary,No DR,Active Bill,Inactive CC,0
374255,INDIA,54,12/08/2017,Inactive,No Salary,Inactive DR,Inactive Bill,No CC,1581.128065
253022,PAKISTAN,65,9/10/2017,No Spends,Salary with Other Bank,No DR,Active Bill,Inactive CC,0
379513,EGYPT,46,17/10/2017,Inactive,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,5029.770645
451279,INDIA,42,24/10/2021,Inactive,Salary with Other Bank,Active DR,Inactive Bill,Inactive CC,2464.012581
178807,INDIA,70,12/12/2021,No Spends,No Salary,Inactive DR,No Bill,Active CC,15.75
359903,EGYPT,52,25/06/2019,Inactive,Salary with Other Bank,Inactive DR,Inactive Bill,Inactive CC,0
202569,EGYPT,25,7/04/2017,Inactive,Salary with Other Bank,Inactive DR,No Bill,Inactive CC,711.5580645
146381,INDIA,51,24/12/2020,No Spends,Salary with Other Bank,Active DR,No Bill,Active CC,2132.648065
406877,INDIA,73,11/02/2020,Active,Salary with Other Bank,No DR,No Bill,No CC,1.421935484
95249,PAKISTAN,50,15/03/2022,Inactive,Salary with Other Bank,No DR,Active Bill,No CC,53.45967742
36733,INDIA,69,3/12/2017,No Spends,Salary with Bank,No DR,Active Bill,Inactive CC,3.94
432004,INDIA,22,10/02/2020,No Spends,No Salary,Inactive DR,Inactive Bill,Active CC,2204.631613
1010,PHILIPPINES,42,28/03/2017,No Spends,No Salary,No DR,No Bill,Active CC,0
486000,PHILIPPINES,50,4/01/2018,Inactive,No Salary,Inactive DR,Active Bill,Inactive CC,177.3509677
425847,PHILIPPINES,58,21/11/2017,Inactive,Salary with Other Bank,No DR,Active Bill,Active CC,0
18871,INDIA,52,24/10/2019,No Spends,Salary with Other Bank,No DR,No Bill,No CC,82.25
